ph,raw_charge_diff,net_charge
3.13,1.2370783e-05,-0.9246615463917527
3.14,1.2344750500000002e-05,-0.9273453092783506
3.15,1.2319589999999999e-05,-0.9299391752577322
3.17,1.231852e-05,-0.9300494845360827
3.18,1.229258e-05,-0.9327237113402065
3.2,1.2291602000000002e-05,-0.9328245360824743
3.21,1.2266463e-05,-0.9354161855670104
3.23,1.2265534e-05,-0.9355119587628868
3.24,1.2239717e-05,-0.9381735051546394
3.26,1.2230205333333334e-05,-0.9391540893470791
3.28,1.2213341e-05,-0.9408926804123714
3.3,1.2195272666666666e-05,-0.9427553951890038
3.31,1.2162123e-05,-0.9461728865979384
3.33,1.2161390000000001e-05,-0.9462484536082476
3.35,1.21346125e-05,-0.9490090206185569
3.37,1.2109979e-05,-0.9515485567010311
3.4,1.2109035e-05,-0.9516458762886602
3.42,1.2082523500000001e-05,-0.9543790206185567
3.45,1.2069453500000001e-05,-0.9557264432989692
3.47,1.2043918500000002e-05,-0.9583589175257732
3.5,1.20251578e-05,-0.9602930103092786
3.53,1.2005560999999999e-05,-0.9623132989690726
3.56,1.1978434500000001e-05,-0.9651098453608249
3.59,1.1954281e-05,-0.9675998969072168
3.63,1.1935738333333332e-05,-0.9695115120274918
3.67,1.1915897285714285e-05,-0.9715569808541977
3.71,1.1894359857142857e-05,-0.9737773343151697
3.76,1.1871704444444443e-05,-0.9761129438717071
3.82,1.185403575e-05,-0.9779344587628869
3.88,1.1826533249999999e-05,-0.9807697680412375
3.95,1.1804570666666666e-05,-0.9830339518900346
4.03,1.1779336333333334e-05,-0.9856354295532648
4.13,1.1755529260869565e-05,-0.9880897669206636
4.24,1.172838543478261e-05,-0.9908880995069476
4.38,1.1701191300000001e-05,-0.9936916185567011
4.54,1.16684267e-05,-0.9970694123711341
4.72,1.164705734e-05,-0.9992724391752579
4.88,1.160929378e-05,-1.003165589690722
5.02,1.1573400539999999e-05,-1.0068659237113404
5.13,1.153610228e-05,-1.0107111051546394
5.23,1.14989793125e-05,-1.014538215206186
5.31,1.14610315625e-05,-1.0184503543814436
5.38,1.142188865625e-05,-1.0224857055412373
5.44,1.138138959375e-05,-1.0266608666237116
5.49,1.1339428375e-05,-1.0309867654639178
5.54,1.1298279047619048e-05,-1.035228964162985
5.59,1.1260075285714285e-05,-1.0391674963181152
5.63,1.1219568476190477e-05,-1.0433434560628376
5.66,1.1176717619047618e-05,-1.0477610702012767
5.66,1.1176717619047618e-05,-1.0477610702012767
5.67,1.1179106666666667e-05,-1.0475147766323025
5.7,1.113628680952381e-05,-1.051929194894453
5.73,1.1093487952380951e-05,-1.0563414482081495
5.76,1.1052114625e-05,-1.060606739690722
5.78,1.1008344249999999e-05,-1.0651191494845365
5.81,1.09677031875e-05,-1.0693089497422683
5.84,1.0927078125e-05,-1.073497100515464
5.86,1.0883337750000001e-05,-1.0780064175257733
5.88,1.0839603375e-05,-1.0825151159793815
5.9,1.0795875e-05,-1.087023195876289
5.93,1.0755849e-05,-1.0911495876288662
5.95,1.0712505666666666e-05,-1.0956179725085913
5.97,1.0669167333333332e-05,-1.1000858419243988
5.99,1.0625834e-05,-1.1045531958762889
6.0,1.0579169333333334e-05,-1.1093639862542957
6.02,1.0535843e-05,-1.1138306185567013
6.04,1.0492521666666667e-05,-1.1182967353951891
6.06,1.0449427142857144e-05,-1.122739469808542
6.07,1.0402993285714285e-05,-1.1275264653902801
6.09,1.036012757142857e-05,-1.1319456111929311
6.11,1.0317265857142858e-05,-1.1363643446244478
6.12,1.0270837e-05,-1.1411508247422684
6.14,1.0227980285714286e-05,-1.1455690427098677
6.15,1.0181554428571429e-05,-1.1503552135493373
6.17,1.0138702714285714e-05,-1.1547729160530193
6.18,1.0092278857142856e-05,-1.1595588807069224
6.2,1.0048974625e-05,-1.1640232345360828
6.21,1.0002095249999999e-05,-1.1688561597938147
6.22,9.955215875e-06,-1.1736890850515467
6.24,9.911460125e-06,-1.1781999871134023
6.25,9.86458375e-06,-1.1830326030927838
6.26,9.817707375e-06,-1.1878652190721652
6.28,9.773956625e-06,-1.1923756056701031
6.29,9.72708225e-06,-1.1972080154639178
6.3,9.680208875000001e-06,-1.2020403221649487
6.31,9.6333355e-06,-1.2068726288659795
6.32,9.586463125e-06,-1.211704832474227
6.33,9.53959075e-06,-1.2165370360824743
6.34,9.492719374999999e-06,-1.2213691365979384
6.36,9.448621944444445e-06,-1.2259152634593358
6.37,9.401396888888889e-06,-1.2307838258877437
6.38,9.354171833333333e-06,-1.2356523883161514
6.39,9.306946777777778e-06,-1.2405209507445591
6.4,9.259722722222223e-06,-1.2453894100801834
6.41,9.212498666666668e-06,-1.2502578694158077
6.42,9.165275611111112e-06,-1.2551262256586484
6.43,9.118052555555556e-06,-1.2599945819014893
6.44,9.0708295e-06,-1.2648629381443302
6.45,9.023607444444446e-06,-1.2697311912943872
6.46,8.97638538888889e-06,-1.2745994444444446
6.47,8.929164333333334e-06,-1.2794675945017184
6.48,8.881943277777778e-06,-1.2843357445589922
6.49,8.834723222222223e-06,-1.2892037915234824
6.5,8.787502166666665e-06,-1.2940719415807562
6.51,8.74028311111111e-06,-1.298939885452463
6.52,8.693063055555555e-06,-1.3038079324169534
6.53,8.645844e-06,-1.30867587628866
6.54,8.5483413e-06,-1.318727701030928
6.54,8.598341299999999e-06,-1.3135730618556705
6.55,8.5008386e-06,-1.3236248865979383
6.56,8.4533369e-06,-1.328521969072165
6.57,8.4058352e-06,-1.3334190515463917
6.58,8.358333500000001e-06,-1.3383161340206187
6.59,8.3108328e-06,-1.343213113402062
6.6,8.213331100000001e-06,-1.3532648350515464
6.6,8.2633311e-06,-1.3481101958762887
6.61,8.1658304e-06,-1.3581618144329899
6.62,8.1183307e-06,-1.3630586907216498
6.63,8.07083e-06,-1.367955670103093
6.64,8.0233303e-06,-1.3728525463917527
6.65,7.9258306e-06,-1.3829040618556703
6.65,7.975830599999999e-06,-1.3777494226804126
6.66,7.8783309e-06,-1.3878009381443301
6.67,7.830831200000001e-06,-1.3926978144329898
6.68,7.7333325e-06,-1.402749226804124
6.68,7.783332500000001e-06,-1.3975945876288662
6.69,7.6858338e-06,-1.4076460000000002
6.7,7.6383351e-06,-1.4125427731958764
6.71,7.5408364e-06,-1.4225941855670106
6.71,7.5908364e-06,-1.4174395463917526
6.72,7.4933377e-06,-1.4274909587628868
6.73,7.44584e-06,-1.4323876288659796
6.74,7.39833815e-06,-1.437284726804124
6.75,7.3008373e-06,-1.4473363608247425
6.75,7.350837299999999e-06,-1.4421817216494848
6.76,7.2533364499999995e-06,-1.4522333556701033
6.77,7.205835599999999e-06,-1.4571303505154642
6.78,7.10833475e-06,-1.4671819845360825
6.78,7.15833475e-06,-1.462027345360825
6.79,7.0608349e-06,-1.47207887628866
6.8,6.9633340499999995e-06,-1.4821305103092786
6.8,7.01333405e-06,-1.4769758711340208
6.81,6.9158342e-06,-1.4870274020618557
6.82,6.86833335e-06,-1.4919243969072167
6.83,6.7708335000000004e-06,-1.5019759278350517
6.83,6.8208335e-06,-1.496821288659794
6.84,6.7233336499999995e-06,-1.506872819587629
6.85,6.6758338e-06,-1.5117697113402064
6.86,6.57833395e-06,-1.5218212422680415
6.86,6.628333949999999e-06,-1.5166666030927838
6.87,6.5308341e-06,-1.5267181340206188
6.88,6.48333525e-06,-1.5316149226804125
6.89,6.3858354000000004e-06,-1.5416664536082476
6.89,6.4358354e-06,-1.53651181443299
6.9,6.33833555e-06,-1.5465633453608247
6.91,6.2908367e-06,-1.5514601340206187
6.92,6.2433368500000005e-06,-1.556357025773196
6.93,6.145838e-06,-1.5664084536082474
6.93,6.195838e-06,-1.56125381443299
6.94,6.09833735e-06,-1.5713054278350518
6.95,6.0508377e-06,-1.5762022989690725
6.96,6.00333705e-06,-1.5810992731958766
6.97,5.9558374e-06,-1.585996144329897
6.98,5.85833775e-06,-1.5960476546391753
6.98,5.90833775e-06,-1.5908930154639176
6.99,5.8108371e-06,-1.6009446288659794
7.0,5.7633374500000005e-06,-1.6058415000000001
7.01,5.7158378e-06,-1.6107383711340209
7.02,5.66833715e-06,-1.615635345360825
7.03,5.6208375000000005e-06,-1.6205322164948455
7.04,5.523336850000001e-06,-1.6305838298969073
7.04,5.57333685e-06,-1.6254291907216496
7.05,5.4758372e-06,-1.635480701030928
7.06,5.428337549999999e-06,-1.6403775721649487
7.07,5.380836900000001e-06,-1.6452745463917529
7.08,5.33333725e-06,-1.6501714175257733
7.09,5.2858366e-06,-1.6550683917525775
7.1,5.23833695e-06,-1.6599652628865982
7.11,5.1908362999999995e-06,-1.6648622371134023
7.12,5.14333565e-06,-1.6697592113402064
7.13,5.045836e-06,-1.6798107216494849
7.13,5.095836e-06,-1.6746560824742271
7.14,4.9983368e-06,-1.6847075463917527
7.15,4.9508376e-06,-1.689604371134021
7.16,4.9033384e-06,-1.6945011958762888
7.17,4.8558392e-06,-1.699398020618557
7.18,4.75834e-06,-1.7094494845360826
7.18,4.80834e-06,-1.7042948453608249
7.2,4.6633406e-06,-1.7192432371134023
7.2,4.7133406e-06,-1.7140885979381446
7.21,4.6158404e-06,-1.7241401649484538
7.22,4.5683412e-06,-1.7290369896907218
7.23,4.520841e-06,-1.7339339175257735
7.24,4.4733408e-06,-1.738830845360825
7.25,4.4258406e-06,-1.7437277731958765
7.26,4.3783404e-06,-1.748624701030928
7.27,4.3308402e-06,-1.7535216288659796
7.28,4.283339e-06,-1.7584186597938145
7.29,4.2358388e-06,-1.7633155876288662
7.31,4.1908364e-06,-1.7679550103092785
7.32,4.1433351999999996e-06,-1.7728520412371136
7.33,4.095834e-06,-1.7777490721649487
7.34,4.047919791666667e-06,-1.7826886812714777
7.35,4.000005583333333e-06,-1.7876282903780072
7.36,3.952091375e-06,-1.7925678994845362
7.37,3.904177166666667e-06,-1.7975075085910655
7.38,3.856262958333333e-06,-1.8024471176975947
7.39,3.80834775e-06,-1.8073868298969074
7.41,3.7625173333333334e-06,-1.812111615120275
7.42,3.714602125e-06,-1.8170513273195879
7.43,3.6666859166666667e-06,-1.821991142611684
7.44,3.618769708333333e-06,-1.8269309579037802
7.46,3.5729372916666666e-06,-1.831655949312715
7.47,3.525020083333333e-06,-1.8365958676975946
7.48,3.477102875e-06,-1.8415357860824744
7.5,3.4312664583333335e-06,-1.8462611898625432
7.51,3.38334825e-06,-1.8512012113402063
7.53,3.3375108333333333e-06,-1.8559267182130585
7.54,3.289591625e-06,-1.8608668427835053
7.56,3.2437522083333333e-06,-1.8655925558419246
7.58,3.197123794871795e-06,-1.8703996087761037
7.59,3.1484165897435896e-06,-1.875420970129527
7.61,3.1010011794871792e-06,-1.8803091567538992
7.63,3.053582769230769e-06,-1.8851976526566219
7.64,3.004873564102564e-06,-1.890219220195612
7.66,2.9574531538461536e-06,-1.895107922283902
7.68,2.9100297435897434e-06,-1.899996933650542
7.7,2.8626053333333334e-06,-1.9048860481099659
7.72,2.815177923076923e-06,-1.90977547184774
7.75,2.7690323076923076e-06,-1.9145327517842983
7.77,2.721598897435897e-06,-1.9194227940787738
7.8,2.675443282051282e-06,-1.924181104943167
7.83,2.6292816666666663e-06,-1.9289400343642613
7.85,2.581836256410256e-06,-1.9338313137721388
7.88,2.535662641025641e-06,-1.938591480306635
7.92,2.4907518205128205e-06,-1.943221461802802
7.95,2.444558205128205e-06,-1.9479836901929688
7.99,2.398374142857143e-06,-1.9527449337260678
8.03,2.3517583333333333e-06,-1.9575506872852235
8.07,2.305121523809524e-06,-1.9623586057928328
8.12,2.259293761904762e-06,-1.967083117329406
8.17,2.213427e-06,-1.9718116494845364
8.22,2.1675172380952383e-06,-1.976544614629357
8.28,2.122360523809524e-06,-1.9811999459990184
8.35,2.077906857142857e-06,-1.9857827982326954
8.42,2.0333231904761906e-06,-1.9903790525282279
8.5,1.9893245714285716e-06,-1.99491499263623
8.58,1.9450859523809523e-06,-1.999475675012273
8.67,1.90888225e-06,-2.0032080154639176
8.76,1.87318653125e-06,-2.0068879864690725
8.84,1.83544078125e-06,-2.0107793009020622
8.93,1.800710095238095e-06,-2.0143597839960727
9.01,1.770189476190476e-06,-2.017506239567992
9.09,1.7388918571428572e-06,-2.0207327982326952
9.16,1.7085935000000004e-06,-2.0238563402061858
9.23,1.6805296250000005e-06,-2.0267495231958765
9.29,1.6495940769230768e-06,-2.029938754956384
9.35,1.6230375384615385e-06,-2.0326765424266457
9.4,1.5918489230769234e-06,-2.0358918636003174
9.46,1.568729727272728e-06,-2.0382752858481727
9.51,1.5410794545454547e-06,-2.041125829428304
9.55,1.5108645000000008e-06,-2.0442407731958765
9.6,1.4857200000000002e-06,-2.0468329896907216
9.64,1.4568037777777785e-06,-2.0498140435280643
9.68,1.429101333333333e-06,-2.0526699656357392
9.71,1.3952339999999999e-06,-2.0561614432989694
9.75,1.3707095e-06,-2.0586897422680415
9.79,1.3451180000000001e-06,-2.0613280412371138
9.83,1.320690000000001e-06,-2.0638463917525773
9.86,1.2890360000000002e-06,-2.0671096907216495
9.89,1.2596995714285729e-06,-2.070134064801178
9.93,1.2380097142857145e-06,-2.0723701325478645
9.96,1.20963442857143e-06,-2.0752954197349043
9.99,1.181007571428572e-06,-2.078246642120766
10.02,1.1521841428571425e-06,-2.0812181296023566
10.05,1.1239375714285724e-06,-2.0841301472754052
10.09,1.103170166666666e-06,-2.086271116838488
10.11,1.0700894999999985e-06,-2.0896814948453613
10.14,1.0443119999999998e-06,-2.092338969072165
10.17,1.016692714285713e-06,-2.0951863181148753
10.2,9.874994285714261e-07,-2.0981959351988224
10.23,9.645916e-07,-2.1005575670103096
10.25,9.343202e-07,-2.1036783298969075
10.28,9.113603333333322e-07,-2.1060453264604813
10.31,8.858953333333338e-07,-2.10867058419244
10.33,8.540705999999999e-07,-2.1119514845360827
10.36,8.339284e-07,-2.1140280000000002
10.38,8.023623333333365e-07,-2.117282233676976
10.41,7.776583333333345e-07,-2.119829037800687
10.43,7.430229999999999e-07,-2.1233996907216497
10.45,7.185684999999975e-07,-2.125920773195877
10.47,6.927819999999999e-07,-2.128579175257732
10.49,6.637560000000002e-07,-2.131571546391753
10.52,6.424420000000001e-07,-2.1337688659793814
10.54,6.181154999999972e-07,-2.13627675257732
10.55,5.803607500000014e-07,-2.140168994845361
10.58,5.63353e-07,-2.141922371134021
10.6,5.327589999999999e-07,-2.1450763917525775
10.61,4.917830000000001e-07,-2.149300721649485
10.63,4.7543666666666867e-07,-2.150985910652921
10.65,4.547254999999998e-07,-2.153121082474227
10.67,4.2955349999999997e-07,-2.1557161340206186
10.69,4.0442549999999837e-07,-2.1583066494845364
10.71,3.7923950000000194e-07,-2.1609031443298967
10.72,3.4077100000000003e-07,-2.164868969072165
10.74,3.245260000000003e-07,-2.166543711340206
10.76,3.076703333333332e-07,-2.168281408934708
10.78,2.900810000000001e-07,-2.1700947422680414
10.79,2.5738599999999693e-07,-2.1734653608247427
10.81,2.397340000000001e-07,-2.1752851546391754
10.82,2.0708533333333345e-07,-2.178650996563574
10.84,1.893670000000004e-07,-2.1804776288659795
10.85,1.56768666666667e-07,-2.183838281786942
10.87,1.389780000000001e-07,-2.1856723711340207
10.88,1.1430200000000589e-07,-2.1882162886597936
10.9,1.0614866666666688e-07,-2.1890568384879727
10.91,7.270733333333328e-08,-2.1925043986254296
10.93,6.358999999999984e-08,-2.1934443298969075
10.94,3.795299999999923e-08,-2.196087319587629
10.95,-1.2142000000000163e-08,-2.2012517525773196
